Trial,Sound,TargetImage,Foil1,Foil2,Foil3
1,bed,bed,head,bow,thread
2,map,map,cap,man,cat
3,pot,pot,cop,pen,leaf
4,wet,wet,jet,wolf,seed
5,hand,hand,band,hair,bee
