Trial,Sound,TargetImage,Foil1,Foil2,Foil3
1,nap,nap,cap,neck,meat
2,dog,dog,frog,dirt,wig
3,jam,jam,ham,juice,bat
4,toy,toy,boy,two,cake
5,cake,cake,bake,car,pony
,,,,,
